SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Gamma
3.04E+07,2.02E+08,480.67,2995,0.5,0,0.54
3.02E+07,2.03E+08,480.67,3027,0.5,0,0.54
2.97E+07,1.95E+08,480.67,2433,0.5,0,0.54
1.95E+07,1.28E+08,480.67,2123,0.5,0,0.54
1.44E+07,8.45E+07,480.67,1969,0.5,0,0.54
1.27E+07,6.65E+07,480.67,1883,0.5,0,0.54
1.14E+07,5.41E+07,480.67,1781,0.5,0,0.54
1.08E+07,4.66E+07,480.67,1701,0.5,0,0.54
9.83E+06,3.85E+07,480.67,1628,0.5,0,0.54
9.14E+06,3.36E+07,480.67,1584,0.5,0,0.54
9.22E+06,3.67E+07,480.67,1609,0.5,0,0.54
9.00E+06,3.64E+07,480.67,1652,0.5,0,0.54
8.74E+06,3.31E+07,480.67,1644,0.5,0,0.54
8.83E+06,3.59E+07,480.67,1539,0.5,0,0.54
8.42E+06,3.74E+07,480.67,1537,0.5,0,0.54
7.89E+06,3.16E+07,480.67,1579,0.5,0,0.54
7.61E+06,2.96E+07,480.67,1584,0.5,0,0.54
8.04E+06,2.82E+07,480.67,1561,0.5,0,0.54
7.90E+06,3.23E+07,480.67,1503,0.5,0,0.54
7.73E+06,3.14E+07,480.67,1477,0.5,0,0.54
7.73E+06,3.20E+07,480.67,1461,0.5,0,0.54
7.86E+06,3.14E+07,480.67,1450,0.5,0,0.54
7.55E+06,3.00E+07,480.67,1508,0.5,0,0.54
7.68E+06,2.74E+07,480.67,1458,0.5,0,0.54
7.35E+06,2.50E+07,480.67,1446,0.5,0,0.54
7.43E+06,2.83E+07,480.67,1514,0.5,0,0.54
7.41E+06,2.76E+07,480.67,1538,0.5,0,0.54
7.54E+06,2.51E+07,480.67,1495,0.5,0,0.54
7.58E+06,2.87E+07,480.67,1558,0.5,0,0.54
7.80E+06,3.22E+07,480.67,1514,0.5,0,0.54
7.44E+06,2.85E+07,480.67,1561,0.5,0,0.54
7.56E+06,2.61E+07,480.67,1534,0.5,0,0.54
7.69E+06,2.82E+07,480.67,1575,0.5,0,0.54
7.76E+06,2.82E+07,480.67,1573,0.5,0,0.54
7.72E+06,2.77E+07,480.67,1520,0.5,0,0.54
7.56E+06,2.50E+07,480.67,1499,0.5,0,0.54
7.61E+06,2.97E+07,480.67,1480,0.5,0,0.54
7.34E+06,3.00E+07,480.67,1507,0.5,0,0.54
7.32E+06,2.99E+07,480.67,1471,0.5,0,0.54
7.18E+06,2.98E+07,480.67,1446,0.5,0,0.54
7.22E+06,2.88E+07,480.67,1553,0.5,0,0.54
7.54E+06,2.92E+07,480.67,1581,0.5,0,0.54
7.68E+06,2.86E+07,480.67,1577,0.5,0,0.54
7.74E+06,2.81E+07,480.67,1550,0.5,0,0.54
7.71E+06,2.64E+07,480.67,1524,0.5,0,0.54
7.98E+06,2.99E+07,480.67,1441,0.5,0,0.54
7.29E+06,2.96E+07,480.67,1461,0.5,0,0.54
7.35E+06,2.89E+07,480.67,1469,0.5,0,0.54
7.10E+06,2.58E+07,480.67,1474,0.5,0,0.54
7.27E+06,2.79E+07,480.67,1504,0.5,0,0.54
7.41E+06,2.90E+07,480.67,1546,0.5,0,0.54
7.71E+06,2.98E+07,480.67,1530,0.5,0,0.54
7.93E+06,3.29E+07,480.67,1514,0.5,0,0.54
7.71E+06,3.15E+07,480.67,1493,0.5,0,0.54
7.70E+06,3.26E+07,480.67,1474,0.5,0,0.54
7.14E+06,3.13E+07,480.67,1459,0.5,0,0.54
7.08E+06,2.81E+07,480.67,1502,0.5,0,0.54
7.34E+06,3.08E+07,480.67,1438,0.5,0,0.54
7.04E+06,2.92E+07,480.67,1472,0.5,0,0.54
6.81E+06,2.82E+07,480.67,1539,0.5,0,0.54
7.48E+06,3.35E+07,480.67,1539,0.5,0,0.54
7.71E+06,3.60E+07,480.67,1526,0.5,0,0.54
7.57E+06,3.57E+07,480.67,1586,0.5,0,0.54
7.88E+06,3.19E+07,480.67,1566,0.5,0,0.54
7.85E+06,3.34E+07,480.67,1566,0.5,0,0.54
7.87E+06,3.30E+07,480.67,1556,0.5,0,0.54
