SumBiomass,Lp50_pop,age_mat_pop,num_pop,Finput,CVg,Gamma
3.36E+06,238.67,1.9373,3187,0.5,0,0.54
3.47E+06,238.67,1.9357,3206,0.5,0,0.54
3.44E+06,238.67,1.9253,3196,0.5,0,0.54
3.27E+06,238.67,1.932,3160,0.5,0,0.54
3.31E+06,238.67,1.9219,3159,0.5,0,0.54
3.33E+06,238.67,1.9256,3193,0.5,0,0.54
3.33E+06,238.67,1.9163,3197,0.5,0,0.54
3.22E+06,238.67,1.9042,3145,0.5,0,0.54
3.28E+06,238.67,1.9081,3181,0.5,0,0.54
3.36E+06,238.67,1.8916,3274,0.5,0,0.54
3.38E+06,238.67,1.8976,3311,0.5,0,0.54
3.40E+06,238.67,1.9039,3192,0.5,0,0.54
3.31E+06,238.67,1.9,3230,0.5,0,0.54
3.35E+06,238.67,1.9102,3340,0.5,0,0.54
3.35E+06,238.67,1.9306,3334,0.5,0,0.54
3.45E+06,238.67,1.9337,3247,0.5,0,0.54
3.44E+06,238.67,1.9312,3266,0.5,0,0.54
3.43E+06,238.67,1.9353,3250,0.5,0,0.54
3.45E+06,238.67,1.9344,3313,0.5,0,0.54
3.42E+06,238.67,1.9296,3304,0.5,0,0.54
3.60E+06,238.67,1.9248,3214,0.5,0,0.54
3.47E+06,238.67,1.9317,3278,0.5,0,0.54
3.50E+06,238.67,1.9392,3241,0.5,0,0.54
3.49E+06,238.67,1.9284,3277,0.5,0,0.54
3.54E+06,238.67,1.9216,3335,0.5,0,0.54
3.55E+06,238.67,1.9238,3325,0.5,0,0.54
3.53E+06,238.67,1.9155,3292,0.5,0,0.54
3.51E+06,238.67,1.9245,3267,0.5,0,0.54
3.55E+06,238.67,1.9148,3337,0.5,0,0.54
3.55E+06,238.67,1.908,3302,0.5,0,0.54
3.49E+06,238.67,1.9162,3251,0.5,0,0.54
3.51E+06,238.67,1.9151,3242,0.5,0,0.54
3.36E+06,238.67,1.9187,3246,0.5,0,0.54
3.38E+06,238.67,1.9124,3284,0.5,0,0.54
3.49E+06,238.67,1.917,3315,0.5,0,0.54
3.55E+06,238.67,1.9115,3273,0.5,0,0.54
3.49E+06,238.67,1.9218,3247,0.5,0,0.54
3.42E+06,238.67,1.9168,3238,0.5,0,0.54
3.38E+06,238.67,1.9125,3230,0.5,0,0.54
3.45E+06,238.67,1.9173,3229,0.5,0,0.54
3.44E+06,238.67,1.9299,3175,0.5,0,0.54
3.44E+06,238.67,1.931,3234,0.5,0,0.54
3.38E+06,238.67,1.9206,3253,0.5,0,0.54
3.43E+06,238.67,1.9203,3203,0.5,0,0.54
3.33E+06,238.67,1.8939,2767,0.5,0,0.54
2.32E+06,238.67,1.8394,2653,0.5,0,0.54
1.95E+06,238.67,1.8232,2653,0.5,0,0.54
1.92E+06,238.67,1.8308,2610,0.5,0,0.54
1.93E+06,238.67,1.8174,2648,0.5,0,0.54
1.91E+06,238.67,1.8103,2621,0.5,0,0.54
1.84E+06,238.67,1.816,2586,0.5,0,0.54
1.79E+06,238.67,1.836,2538,0.5,0,0.54
1.78E+06,238.67,1.8371,2653,0.5,0,0.54
1.79E+06,238.67,1.8551,2661,0.5,0,0.54
1.79E+06,238.67,1.8649,2549,0.5,0,0.54
1.75E+06,238.67,1.8502,2587,0.5,0,0.54
1.76E+06,238.67,1.8465,2533,0.5,0,0.54
1.69E+06,238.67,1.8546,2579,0.5,0,0.54
1.66E+06,238.67,1.8705,2623,0.5,0,0.54
1.71E+06,238.67,1.8775,2613,0.5,0,0.54
1.74E+06,238.67,1.8615,2628,0.5,0,0.54
1.75E+06,238.67,1.8665,2594,0.5,0,0.54
1.73E+06,238.67,1.8604,2558,0.5,0,0.54
1.69E+06,238.67,1.8973,2545,0.5,0,0.54
1.65E+06,238.67,1.8899,2543,0.5,0,0.54
1.69E+06,238.67,1.8954,2586,0.5,0,0.54
1.74E+06,238.67,1.8647,2511,0.5,0,0.54
1.65E+06,238.67,1.8871,2500,0.5,0,0.54
1.64E+06,238.67,1.8879,2524,0.5,0,0.54
1.64E+06,238.67,1.8734,2493,0.5,0,0.54
1.62E+06,238.67,1.8719,2544,0.5,0,0.54
1.67E+06,238.67,1.8716,2543,0.5,0,0.54
1.68E+06,238.67,1.855,2552,0.5,0,0.54
1.65E+06,238.67,1.8754,2523,0.5,0,0.54
1.66E+06,238.67,1.8703,2502,0.5,0,0.54
1.64E+06,238.67,1.8698,2516,0.5,0,0.54
1.62E+06,238.67,1.8584,2491,0.5,0,0.54
1.60E+06,238.67,1.8739,2502,0.5,0,0.54
1.59E+06,238.67,1.8805,2552,0.5,0,0.54
1.62E+06,238.67,1.8783,2528,0.5,0,0.54
1.65E+06,238.67,1.8786,2556,0.5,0,0.54
1.67E+06,238.67,1.8816,2648,0.5,0,0.54
1.71E+06,238.67,1.887,2609,0.5,0,0.54
1.76E+06,238.67,1.8913,2626,0.5,0,0.54
1.71E+06,238.67,1.8721,2641,0.5,0,0.54
1.70E+06,238.67,1.8837,2656,0.5,0,0.54
1.73E+06,238.67,1.868,2610,0.5,0,0.54
1.72E+06,238.67,1.8631,2553,0.5,0,0.54
1.66E+06,238.67,1.845,2570,0.5,0,0.54
1.63E+06,238.67,1.8657,2536,0.5,0,0.54
1.64E+06,238.67,1.86,2486,0.5,0,0.54
1.61E+06,238.67,1.8668,2475,0.5,0,0.54
1.61E+06,238.67,1.8777,2491,0.5,0,0.54
1.62E+06,238.67,1.8833,2512,0.5,0,0.54
1.63E+06,238.67,1.8827,2621,0.5,0,0.54
1.69E+06,238.67,1.8917,2581,0.5,0,0.54
1.70E+06,238.67,1.8904,2521,0.5,0,0.54
1.73E+06,238.67,1.8846,2543,0.5,0,0.54
1.69E+06,238.67,1.8806,2585,0.5,0,0.54
1.72E+06,238.67,1.8724,2601,0.5,0,0.54
1.66E+06,238.67,1.897,2531,0.5,0,0.54
1.68E+06,238.67,1.8788,2542,0.5,0,0.54
1.72E+06,238.67,1.8679,2598,0.5,0,0.54
1.64E+06,238.67,1.8579,2636,0.5,0,0.54
1.66E+06,238.67,1.8407,2525,0.5,0,0.54
1.65E+06,238.67,1.8503,2493,0.5,0,0.54
1.66E+06,238.67,1.8547,2477,0.5,0,0.54
1.58E+06,238.67,1.8507,2437,0.5,0,0.54
1.59E+06,238.67,1.8476,2543,0.5,0,0.54
1.60E+06,238.67,1.8474,2609,0.5,0,0.54
1.68E+06,238.67,1.8694,2624,0.5,0,0.54
1.70E+06,238.67,1.8763,2619,0.5,0,0.54
1.70E+06,238.67,1.8739,2611,0.5,0,0.54
1.71E+06,238.67,1.8726,2635,0.5,0,0.54
1.73E+06,238.67,1.8667,2575,0.5,0,0.54
1.69E+06,238.67,1.864,2546,0.5,0,0.54
1.64E+06,238.67,1.8746,2563,0.5,0,0.54
1.67E+06,238.67,1.872,2505,0.5,0,0.54
1.67E+06,238.67,1.8654,2529,0.5,0,0.54
1.59E+06,238.67,1.8597,2499,0.5,0,0.54
1.63E+06,238.67,1.8728,2542,0.5,0,0.54
1.70E+06,238.67,1.8503,2536,0.5,0,0.54
1.61E+06,238.67,1.8532,2495,0.5,0,0.54
1.61E+06,238.67,1.8534,2490,0.5,0,0.54
1.59E+06,238.67,1.8706,2486,0.5,0,0.54
1.60E+06,238.67,1.8736,2467,0.5,0,0.54
1.63E+06,238.67,1.8774,2513,0.5,0,0.54
1.65E+06,238.67,1.8676,2513,0.5,0,0.54
1.53E+06,238.67,1.877,2475,0.5,0,0.54
1.60E+06,238.67,1.8658,2466,0.5,0,0.54
1.62E+06,238.67,1.8698,2445,0.5,0,0.54
1.55E+06,238.67,1.8735,2526,0.5,0,0.54
1.62E+06,238.67,1.8809,2534,0.5,0,0.54
1.59E+06,238.67,1.8831,2527,0.5,0,0.54
1.63E+06,238.67,1.8909,2521,0.5,0,0.54
1.63E+06,238.67,1.8875,2544,0.5,0,0.54
1.70E+06,238.67,1.8891,2506,0.5,0,0.54
1.63E+06,238.67,1.8711,2522,0.5,0,0.54
